@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
2,0,68,361,7,4,9,0.692,0,T3,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T3,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T3,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T3,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T3,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T3,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T3,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T3,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T3,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T3,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T3,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T3,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T3,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T3,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T3,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T3,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T3,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T3,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T3,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T3,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T3,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T3,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T3,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T3,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T3,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T3,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T3,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T3,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T3,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T3,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T3,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T3,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T3,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T3,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T3,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T3,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T3,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T3,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T3,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T3,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T3,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T3,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T3,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T3,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T4,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T4,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T4,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T4,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T4,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T4,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T4,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T4,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T4,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T4,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T4,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T4,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T4,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T4,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T4,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T4,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,4,12,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,4,12,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,4,12,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,4,12,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,4,12,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,4,12,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,1,3,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T5,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,0,0,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,2,6,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,3,9,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,5,15,3,no
2,0,68,361,7,4,9,0.692,0,T6,V,4,12,3,no
